movie_title,Watch[1] or Not[0]
Rush Hour 3åÊ,65
2012åÊ,67
A Christmas CarolåÊ,65
Jupiter AscendingåÊ,6
The Legend of TarzanåÊ,94
"The Chronicles of Narnia: The Lion, the Witch and the WardrobeåÊ",26
X-Men: ApocalypseåÊ,93
The Dark KnightåÊ,27
UpåÊ,26
Monsters vs. AliensåÊ,55
Iron ManåÊ,45
HugoåÊ,68
Wild Wild WeståÊ,34
The Mummy: Tomb of the Dragon EmperoråÊ,20
Suicide SquadåÊ,51
Evan AlmightyåÊ,76
Edge of TomorrowåÊ,76
WaterworldåÊ,2
G.I. Joe: The Rise of CobraåÊ,59
Inside OutåÊ,90
The Jungle BookåÊ,54
Iron Man 2åÊ,100
Snow White and the HuntsmanåÊ,93
MaleficentåÊ,85
Dawn of the Planet of the ApesåÊ,84
The LoversåÊ,25
47 RoninåÊ,56
Captain America: The Winter SoldieråÊ,35
Shrek Forever AfteråÊ,53
TomorrowlandåÊ,16
Big Hero 6åÊ,39
Wreck-It RalphåÊ,18
The Polar ExpressåÊ,5
Independence Day: ResurgenceåÊ,20
How to Train Your DragonåÊ,39
Terminator 3: Rise of the MachinesåÊ,59
Guardians of the GalaxyåÊ,31
InterstellaråÊ,18
InceptionåÊ,26
Godzilla ResurgenceåÊ,25
The Hobbit: An Unexpected JourneyåÊ,7
The Fast and the FuriousåÊ,4
The Curious Case of Benjamin ButtonåÊ,40
X-Men: First ClassåÊ,4
The Hunger Games: Mockingjay - Part 2åÊ,44
The Sorcerer's ApprenticeåÊ,92
PoseidonåÊ,41
Alice Through the Looking GlassåÊ,21
Shrek the ThirdåÊ,45
WarcraftåÊ,6
Terminator GenisysåÊ,79
The Chronicles of Narnia: The Voyage of the Dawn TreaderåÊ,20
Pearl HarboråÊ,55
TransformersåÊ,45
AlexanderåÊ,37
Harry Potter and the Order of the PhoenixåÊ,26
Harry Potter and the Goblet of FireåÊ,26
HancockåÊ,1
I Am LegendåÊ,98
Charlie and the Chocolate FactoryåÊ,24
RatatouilleåÊ,24
Batman BeginsåÊ,24
Madagascar: Escape 2 AfricaåÊ,69
Night at the Museum: Battle of the SmithsonianåÊ,49
X-Men Origins: WolverineåÊ,69
The Matrix RevolutionsåÊ,65
FrozenåÊ,95
The Matrix ReloadedåÊ,44
Thor: The Dark WorldåÊ,24
Mad Max: Fury RoadåÊ,93
Angels & DemonsåÊ,30
ThoråÊ,69
BoltåÊ,34
G-ForceåÊ,11
Wrath of the TitansåÊ,89
Dark ShadowsåÊ,77
Mission: Impossible - Rogue NationåÊ,78
The WolfmanåÊ,41
The Legend of TarzanåÊ,94
Bee MovieåÊ,40
Kung Fu Panda 2åÊ,67
The Last AirbenderåÊ,61
Mission: Impossible IIIåÊ,30
White House DownåÊ,68
Mars Needs MomsåÊ,0
Flushed AwayåÊ,92
PanåÊ,37
Mr. Peabody & ShermanåÊ,34
TroyåÊ,30
Madagascar 3: Europe's Most WantedåÊ,39
Die Another DayåÊ,29
GhostbustersåÊ,64
ArmageddonåÊ,55
Men in Black IIåÊ,78
BeowulfåÊ,38
Kung Fu Panda 3åÊ,4
Mission: Impossible - Ghost ProtocolåÊ,84
Rise of the GuardiansåÊ,20
Fun with Dick and JaneåÊ,58
The Last SamuraiåÊ,34
Exodus: Gods and KingsåÊ,10
Star TrekåÊ,35
Spider-ManåÊ,95
How to Train Your Dragon 2åÊ,49
Gods of EgyptåÊ,57
StealthåÊ,57
WatchmenåÊ,58
Lethal Weapon 4åÊ,61
HulkåÊ,61
G.I. Joe: RetaliationåÊ,94
SaharaåÊ,46
Final Fantasy: The Spirits WithinåÊ,57
Captain America: The First AvengeråÊ,49
The World Is Not EnoughåÊ,40
Master and Commander: The Far Side of the WorldåÊ,16
The Twilight Saga: Breaking Dawn - Part 2åÊ,26
Happy Feet 2åÊ,92
The Incredible HulkåÊ,30
Miami ViceåÊ            ,25
The BFGåÊ,52
The RevenantåÊ,96
TurboåÊ,38
RangoåÊ,94
Penguins of MadagascaråÊ,38
The Bourne UltimatumåÊ,1
Kung Fu PandaåÊ,39
Ant-ManåÊ,69
The Hunger Games: Catching FireåÊ,48
The Twilight Saga: Breaking Dawn - Part 2åÊ,26
HomeåÊ,49
War of the WorldsåÊ,82
Bad Boys IIåÊ,65
Puss in BootsåÊ,59
SaltåÊ,64
NoahåÊ,76
The Adventures of TintinåÊ,21
Harry Potter and the Prisoner of AzkabanåÊ,17
AustraliaåÊ,81
After EarthåÊ,41
DinosauråÊ,65
Harry Potter and the Deathly Hallows: Part IIåÊ,25
Night at the Museum: Secret of the TombåÊ,34
MegamindåÊ,59
Harry Potter and the Sorcerer's StoneåÊ,45
R.I.P.D.åÊ,12
Godzilla ResurgenceåÊ,25
Pirates of the Caribbean: The Curse of the Black PearlåÊ,7
Harry Potter and the Deathly Hallows: Part IåÊ,25
The Hunger Games: Mockingjay - Part 1åÊ,99
The Da Vinci CodeåÊ,39
Rio 2åÊ,61
X-Men 2åÊ,39
Fast FiveåÊ,84
Sherlock Holmes: A Game of ShadowsåÊ,18
Clash of the TitansåÊ,51
Total RecallåÊ,11
The 13th WarrioråÊ,12
The Bourne LegacyåÊ,34
Batman & RobinåÊ,58
How the Grinch Stole ChristmasåÊ,35
The Day After TomorrowåÊ,18
Mission: Impossible IIåÊ,39
The Perfect StormåÊ,96
Fantastic 4: Rise of the Silver SurferåÊ,61
Life of PiåÊ,94
Ghost RideråÊ,64
Jason BourneåÊ,58
Charlie's Angels: Full ThrottleåÊ,76
PrometheusåÊ,40
Stuart Little 2åÊ,92
ElysiumåÊ,16
The Chronicles of RiddickåÊ,60
RoboCopåÊ,60
Speed RaceråÊ,50
How Do You KnowåÊ,72
Knight and DayåÊ,21
OblivionåÊ,2
Star Wars: Episode III - Revenge of the SithåÊ,32
Star Wars: Episode II - Attack of the ClonesåÊ,100
"Monsters, Inc.åÊ",26
The WolverineåÊ,61
Star Wars: Episode I - The Phantom MenaceåÊ,47
The CroodsåÊ,18
Asterix at the Olympic GamesåÊ,25
WindtalkersåÊ,28
The Huntsman: Winter's WaråÊ,6
Teenage Mutant Ninja TurtlesåÊ,78
GravityåÊ,44
Dante's PeakåÊ,10
Teenage Mutant Ninja Turtles: Out of the ShadowsåÊ,38
Fantastic FouråÊ,22
Night at the MuseumåÊ,17
San AndreasåÊ,93
Tomorrow Never DiesåÊ,94
The PatriotåÊ,34
Ocean's TwelveåÊ,94
Mr. & Mrs. SmithåÊ,18
InsurgentåÊ,61
The AviatoråÊ,20
Gulliver's TravelsåÊ,73
The Green HornetåÊ,76
The A-TeamåÊ            ,25
300: Rise of an EmpireåÊ,58
The SmurfsåÊ,4
Home on the RangeåÊ,81
AllegiantåÊ,10
Real SteelåÊ,89
The Smurfs 2åÊ,46
Speed 2: Cruise ControlåÊ,6
Ender's GameåÊ,41
Live Free or Die HardåÊ,30
The Lord of the Rings: The Fellowship of the RingåÊ,100
Around the World in 80 DaysåÊ,97
AliåÊ,60
The Cat in the HatåÊ,76
"I, RobotåÊ",4
Kingdom of HeavenåÊ,6
Stuart LittleåÊ,65
The Princess and the FrogåÊ,20
The MartianåÊ,1
"10,000 B.C.åÊ            ",25
The IslandåÊ,75
Town & CountryåÊ,88
Gone in Sixty SecondsåÊ,76
GladiatoråÊ,18
Minority ReportåÊ,61
Harry Potter and the Chamber of SecretsåÊ,35
Casino RoyaleåÊ,67
Planet of the ApesåÊ,69
Terminator 2: Judgment DayåÊ,24
Public EnemiesåÊ,91
American GangsteråÊ,61
True LiesåÊ,4
The Taking of Pelham 1 2 3åÊ,10
Little FockersåÊ,59
The Other GuysåÊ,11
EraseråÊ,76
Django UnchainedåÊ,51
The Hunchback of Notre DameåÊ,76
The Emperor's New GrooveåÊ,2
The Expendables 2åÊ,89
National TreasureåÊ,9
EragonåÊ,21
Where the Wild Things AreåÊ,21
PanåÊ,37
EpicåÊ,58
The TouriståÊ,10
End of DaysåÊ,10
Blood DiamondåÊ,60
The Wolf of Wall StreetåÊ,64
Batman ForeveråÊ,96
Starship TroopersåÊ,22
Cloud AtlasåÊ,13
Legend of the Guardians: The Owls of Ga'HooleåÊ,22
CatwomanåÊ,28
HerculesåÊ,68
Treasure PlanetåÊ,56
Land of the LoståÊ,81
The Expendables 3åÊ,28
Point BreakåÊ,72
Son of the MaskåÊ,43
In the Heart of the SeaåÊ,25
The Adventures of Pluto NashåÊ,63
Green ZoneåÊ,37
The Peanuts MovieåÊ,61
The Spanish PrisoneråÊ,42
The Mummy ReturnsåÊ,24
Gangs of New YorkåÊ,21
The Flowers of WaråÊ,5
Surf's UpåÊ,60
The Stepford WivesåÊ,41
Black Hawk DownåÊ,58
The CampaignåÊ,2
The Fifth ElementåÊ,92
Sex and the City 2åÊ,91
The Road to El DoradoåÊ,81
Ice Age: Continental DriftåÊ,51
CinderellaåÊ,55
The Lovely BonesåÊ,50
Finding NemoåÊ,32
The Lord of the Rings: The Return of the KingåÊ,32
The Lord of the Rings: The Two TowersåÊ,99
Seventh SonåÊ,43
Lara Croft: Tomb RaideråÊ,61
TranscendenceåÊ,62
Jurassic Park IIIåÊ,69
Rise of the Planet of the ApesåÊ,49
The Spiderwick ChroniclesåÊ,46
A Good Day to Die HardåÊ,10
The AlamoåÊ,62
The IncrediblesåÊ,35
Cutthroat IslandåÊ,42
Percy Jackson & the Olympians: The Lightning ThiefåÊ,2
Men in BlackåÊ,17
Toy Story 2åÊ,85
UnstoppableåÊ,38
Rush Hour 2åÊ,1
What Lies BeneathåÊ,93
Cloudy with a Chance of MeatballsåÊ,94
Ice Age: Dawn of the DinosaursåÊ,55
The Secret Life of Walter MittyåÊ,60
Charlie's AngelsåÊ,94
The DepartedåÊ,61
MulanåÊ,11
Tropic ThunderåÊ,58
The Girl with the Dragon TattooåÊ,20
Die Hard with a VengeanceåÊ,76
Sherlock HolmesåÊ,84
Ben-HuråÊ,25
Atlantis: The Lost EmpireåÊ,89
Alvin and the Chipmunks: The Road ChipåÊ,89
ValkyrieåÊ,38
You Don't Mess with the ZohanåÊ,76
PixelsåÊ,77
A.I. Artificial IntelligenceåÊ,77
The Haunted MansionåÊ,21
ContactåÊ,76
Hollow ManåÊ,68
The InterpreteråÊ,68
Percy Jackson: Sea of MonstersåÊ,46
Lara Croft Tomb Raider: The Cradle of LifeåÊ,10
Now You See Me 2åÊ,92
The SaintåÊ,41
Spy GameåÊ,5
Mission to MarsåÊ,41
RioåÊ,4
Bicentennial ManåÊ,60
VolcanoåÊ,6
The Devil's OwnåÊ,73
K-19: The WidowmakeråÊ,37
Fantastic FouråÊ,22
Conan the BarbarianåÊ,56
Cinderella ManåÊ,41
The Nutcracker in 3DåÊ,5
SeabiscuitåÊ,11
TwisteråÊ,85
The Fast and the FuriousåÊ,4
Cast AwayåÊ,82
Happy FeetåÊ,55
The Bourne SupremacyåÊ,49
Air Force OneåÊ,9
Ocean's ElevenåÊ,96
The Three MusketeersåÊ,0
Hotel TransylvaniaåÊ,59
EnchantedåÊ,40
HannibalåÊ            ,25
Safe HouseåÊ,40
102 DalmatiansåÊ,10
Tower HeiståÊ,77
The HolidayåÊ,92
Enemy of the StateåÊ,34
It's ComplicatedåÊ,34
Ocean's ThirteenåÊ,64
Open SeasonåÊ,89
DivergentåÊ,59
Enemy at the GatesåÊ,81
The RundownåÊ,6
Last Action HeroåÊ,81
Memoirs of a GeishaåÊ,22
The Fast and the Furious: Tokyo DriftåÊ,92
Arthur ChristmasåÊ,6
Meet Joe BlackåÊ,50
Collateral DamageåÊ,28
All That JazzåÊ,25
Mirror MirroråÊ,10
Scott Pilgrim vs. the WorldåÊ,57
The CoreåÊ,57
Nutty Professor II: The KlumpsåÊ,94
Scooby-DooåÊ,93
DreddåÊ,23
ClickåÊ,65
CreepshowåÊ,25
Cats & Dogs: The Revenge of Kitty GaloreåÊ,73
JumperåÊ,77
Hellboy II: The Golden ArmyåÊ,21
ZodiacåÊ,12
The 6th DayåÊ,37
Bruce AlmightyåÊ,85
The ExpendablesåÊ,20
Mission: ImpossibleåÊ,69
The Hunger GamesåÊ,3
The Hangover Part IIåÊ,98
Batman ReturnsåÊ,51
Over the HedgeåÊ,93
Lilo & StitchåÊ,4
Charlotte's WebåÊ,38
Deep ImpactåÊ,65
RED 2åÊ,52
The Longest YardåÊ,29
Alvin and the Chipmunks: ChipwreckedåÊ,30
Grown Ups 2åÊ,30
Get SmartåÊ,61
Something's Gotta GiveåÊ,94
Shutter IslandåÊ,40
Four ChristmasesåÊ,11
RobotsåÊ,40
Face/OffåÊ,34
Bedtime StoriesåÊ,58
Road to PerditionåÊ,20
Just Go with ItåÊ,20
DaredevilåÊ            ,25
Con AiråÊ,76
Eagle EyeåÊ,76
Cold MountainåÊ,91
The Book of EliåÊ,91
FlubberåÊ,16
The HauntingåÊ,79
Space JamåÊ,79
The Pink PantheråÊ,38
The Day the Earth Stood StillåÊ,77
Conspiracy TheoryåÊ,21
FuryåÊ,89
Six Days Seven NightsåÊ,68
Yogi BearåÊ,76
Spirit: Stallion of the CimarronåÊ,68
ZookeeperåÊ,77
Lost in SpaceåÊ,46
The Manchurian CandidateåÊ,10
DÌ©jÌÊ VuåÊ,66
Hotel Transylvania 2åÊ,67
BewitchedåÊ            ,25
Fantasia 2000åÊ,41
The Time MachineåÊ,22
Mighty Joe YoungåÊ,81
SwordfishåÊ,46
The Legend of ZorroåÊ,50
What Dreams May ComeåÊ,22
Little NickyåÊ,28
The Brothers GrimmåÊ,56
Mars Attacks!åÊ,56
EvolutionåÊ,25
The EdgeåÊ,13
SurrogatesåÊ,56
Thirteen DaysåÊ,37
DaylightåÊ,12
Walking with Dinosaurs 3DåÊ,75
Battlefield EarthåÊ,0
Looney Tunes: Back in ActionåÊ,0
NineåÊ,86
TimelineåÊ,86
The PostmanåÊ,43
Babe: Pig in the CityåÊ,86
The Last Witch HunteråÊ,13
Red PlanetåÊ,43
Arthur and the InvisiblesåÊ,83
OceansåÊ,86
A Sound of ThunderåÊ,66
PompeiiåÊ,62
Top Cat BeginsåÊ,25
A Beautiful MindåÊ,9
The Lion KingåÊ,48
Journey 2: The Mysterious IslandåÊ,20
Cloudy with a Chance of Meatballs 2åÊ,11
Red DragonåÊ,16
HidalgoåÊ,10
Jack and JillåÊ,68
2 Fast 2 FuriousåÊ,40
The Little PrinceåÊ,66
The InvasionåÊ,83
The Adventures of Rocky & BullwinkleåÊ,25
The Secret Life of PetsåÊ,45
The League of Extraordinary GentlemenåÊ,10
Despicable Me 2åÊ,54
Independence DayåÊ,7
The Lost World: Jurassic ParkåÊ,1
MadagascaråÊ,78
Children of MenåÊ,37
X-MenåÊ,29
WantedåÊ,30
The RockåÊ,30
Ice Age: The MeltdownåÊ,78
50 First DatesåÊ,11
HairsprayåÊ,11
Exorcist: The BeginningåÊ,73
Inspector GadgetåÊ,91
Now You See MeåÊ,64
Grown UpsåÊ,51
The TerminalåÊ,21
ConstantineåÊ            ,25
Hotel for DogsåÊ,68
Vertical LimitåÊ,46
Charlie Wilson's WaråÊ,10
Shark TaleåÊ,51
DreamgirlsåÊ,20
LifeåÊ            ,25
Be CoolåÊ,22
MunichåÊ,6
Tears of the SunåÊ,73
KillersåÊ,6
The Man from U.N.C.L.E.åÊ,50
SpanglishåÊ,73
Monster HouseåÊ,68
BanditsåÊ,73
First KnightåÊ,56
Anna and the KingåÊ,28
ImmortalsåÊ,89
HostageåÊ,37
Titan A.E.åÊ,62
Hollywood HomicideåÊ,72
SoldieråÊ,23
CarriersåÊ,5
MonkeyboneåÊ,63
Flight of the PhoenixåÊ,0
UnbreakableåÊ,91
MinionsåÊ,99
Sucker PunchåÊ,75
Snake EyesåÊ,22
SphereåÊ,75
The Angry Birds MovieåÊ,58
Fool's GoldåÊ,46
Funny PeopleåÊ,81
The KingdomåÊ,6
Talladega Nights: The Ballad of Ricky BobbyåÊ,59
Dr. Dolittle 2åÊ,34
BraveheartåÊ,21
JarheadåÊ,92
The Simpsons MovieåÊ,96
The MajesticåÊ,13
DrivenåÊ,12
Two BrothersåÊ,86
The VillageåÊ,34
Doctor DolittleåÊ,4
SignsåÊ,1
Shrek 2åÊ,71
CarsåÊ,85
Runaway BrideåÊ,93
xXxåÊ,65
The SpongeBob Movie: Sponge Out of WateråÊ,51
RansomåÊ,30
Inglourious BasterdsåÊ,11
HookåÊ,11
HerculesåÊ,68
Die Hard 2åÊ,64
S.W.A.T.åÊ,64
Sleepy HollowåÊ            ,25
Vanilla SkyåÊ,76
Lady in the WateråÊ,73
AVP: Alien vs. PredatoråÊ,77
Alvin and the Chipmunks: The SqueakquelåÊ,39
We Were SoldiersåÊ,77
Olympus Has FallenåÊ,76
Star Trek: InsurrectionåÊ,46
Battle Los AngelesåÊ,89
Big FishåÊ,10
WolfåÊ,10
War HorseåÊ,77
The Monuments MenåÊ,77
The AbyssåÊ,52
Wall Street: Money Never SleepsåÊ,52
Dracula UntoldåÊ,22
The SiegeåÊ,28
StarduståÊ,56
Seven Years in TibetåÊ,56
The DilemmaåÊ,6
Bad CompanyåÊ,72
DoomåÊ,13
I SpyåÊ,12
Underworld: AwakeningåÊ,92
Rock of AgesåÊ,56
Hart's WaråÊ,86
Killer EliteåÊ,25
RollerballåÊ,86
Ballistic: Ecks vs. SeveråÊ,23
Hard RainåÊ,86
Osmosis JonesåÊ,23
Legends of Oz: Dorothy's ReturnåÊ,14
BlackhatåÊ,88
Sky Captain and the World of TomorrowåÊ,56
Basic Instinct 2åÊ,88
Escape PlanåÊ,25
The Legend of HerculesåÊ,86
The Sum of All FearsåÊ,64
The Twilight Saga: EclipseåÊ,7
The ScoreåÊ,46
Despicable MeåÊ,17
Money TrainåÊ,37
Ted 2åÊ,38
AgoraåÊ,5
Mystery MenåÊ,72
Hall PassåÊ,50
The InsideråÊ,72
The Finest HoursåÊ,13
Body of LiesåÊ,28
Dinner for SchmucksåÊ,68
Abraham Lincoln: Vampire HunteråÊ,56
EntrapmentåÊ,2
Last Man StandingåÊ            ,25
The X FilesåÊ,89
The Last LegionåÊ,88
Saving Private RyanåÊ,39
Need for SpeedåÊ,73
What Women WantåÊ,96
Ice AgeåÊ,49
DreamcatcheråÊ,12
LincolnåÊ,96
The MatrixåÊ,9
Apollo 13åÊ,9
Total RecallåÊ,11
The Santa Clause 2åÊ,65
Les MisÌ©rablesåÊ,59
You've Got MailåÊ,64
Step BrothersåÊ,76
The Mask of ZorroåÊ,16
Due DateåÊ,76
UnbrokenåÊ,64
Space CowboysåÊ,79
CliffhangeråÊ,89
Broken ArrowåÊ,46
The KidåÊ,46
World Trade CenteråÊ,46
Mona Lisa SmileåÊ,92
The DictatoråÊ,41
Eyes Wide ShutåÊ,22
AnnieåÊ,89
FocusåÊ,52
This Means WaråÊ,22
Blade: TrinityåÊ,52
Red DawnåÊ,25
Primary ColorsåÊ,56
Resident Evil: RetributionåÊ,73
Death RaceåÊ,75
The Long Kiss GoodnightåÊ,12
Proof of LifeåÊ,12
Zathura: A Space AdventureåÊ,13
Fight ClubåÊ,75
We Are MarshallåÊ,73
The MissingåÊ            ,25
Hudson HawkåÊ,43
Lucky NumbersåÊ,42
"I, FrankensteinåÊ",86
Oliver TwiståÊ,66
ElektraåÊ,97
Sin City: A Dame to Kill ForåÊ,23
Random HeartsåÊ,57
EvereståÊ,73
Perfume: The Story of a MurdereråÊ,33
Austin Powers in GoldmemberåÊ,84
Astro BoyåÊ,86
Jurassic ParkåÊ,90
Wyatt EarpåÊ,25
Clear and Present DangeråÊ,11
Dragon BladeåÊ,5
LittlemanåÊ,60
U-571åÊ,21
The American PresidentåÊ,10
The Love GuruåÊ,57
3000 Miles to GracelandåÊ,83
The Hateful EightåÊ,52
Blades of GloryåÊ,64
HopåÊ,58
300åÊ,84
Meet the FockersåÊ,44
Marley & MeåÊ,4
The Green MileåÊ,30
Wild HogsåÊ,67
Chicken LittleåÊ,30
Gone GirlåÊ,67
The Bourne IdentityåÊ,11
GoldenEyeåÊ,58
The General's DaughteråÊ,20
The Truman ShowåÊ,94
The Prince of EgyptåÊ,76
Daddy Day CareåÊ,20
2 GunsåÊ,21
Cats & DogsåÊ,16
The Italian JobåÊ,58
Two Weeks NoticeåÊ,16
AntzåÊ,79
Couples RetreatåÊ,58
Days of ThunderåÊ,38
Cheaper by the Dozen 2åÊ,38
The Scorch TrialsåÊ,38
Eat Pray LoveåÊ,77
The Family ManåÊ,21
REDåÊ,79
Any Given SundayåÊ,21
The Horse WhispereråÊ,21
CollateralåÊ,76
The Scorpion KingåÊ,79
Ladder 49åÊ,21
Jack ReacheråÊ,77
Deep Blue SeaåÊ,68
This Is ItåÊ,68
ContagionåÊ,21
Kangaroo JackåÊ,10
CoralineåÊ,21
The HappeningåÊ,92
Man on FireåÊ,77
The Shaggy DogåÊ,41
Starsky & HutchåÊ,2
Jingle All the WayåÊ,41
HellboyåÊ,60
A Civil ActionåÊ,22
ParaNormanåÊ,22
The JackalåÊ,22
PaycheckåÊ,52
Up Close & PersonalåÊ,81
The Tale of DespereauxåÊ,81
Rules of EngagementåÊ            ,25
The TuxedoåÊ,81
Under Siege 2: Dark TerritoryåÊ,81
Jack Ryan: Shadow RecruitåÊ,81
JoyåÊ,22
London Has FallenåÊ,92
Alien: ResurrectionåÊ,6
ShooteråÊ,6
The BoxtrollsåÊ,81
Practical MagicåÊ,6
The Lego MovieåÊ,35
Miss Congeniality 2: Armed and FabulousåÊ,6
Reign of FireåÊ,73
Gangster SquadåÊ,50
Year OneåÊ,73
InvictusåÊ,56
State of PlayåÊ,75
DuplicityåÊ,28
My Favorite MartianåÊ,75
The SentinelåÊ,75
Planet 51åÊ,73
Star Trek: NemesisåÊ,73
Intolerable CrueltyåÊ,37
Trouble with the CurveåÊ,75
Edge of DarknessåÊ,73
The RelicåÊ,12
Analyze ThatåÊ,57
Righteous KillåÊ,28
Mercury RisingåÊ,12
The SoloiståÊ,57
The Legend of Bagger VanceåÊ,72
Almost FamousåÊ,12
Garfield 2åÊ,13
xXx: State of the UnionåÊ,25
PrieståÊ,72
Sinbad: Legend of the Seven SeasåÊ,25
Event HorizonåÊ,13
The AvengersåÊ,8
DragonflyåÊ,72
The Black DahliaåÊ,62
FlyboysåÊ,23
The Last CastleåÊ,86
SupernovaåÊ,23
Winter's TaleåÊ,5
The Mortal Instruments: City of BonesåÊ,57
Meet DaveåÊ,74
Dark WateråÊ,25
EdtvåÊ,62
InkheartåÊ,43
The SpiritåÊ,86
MortdecaiåÊ,14
In the Name of the King: A Dungeon Siege TaleåÊ,63
Beyond BordersåÊ,63
Xi you ji zhi: Sun Wukong san da Baigu JingåÊ,25
The Great RaidåÊ,42
DeadpoolåÊ,54
Holy ManåÊ,74
American SniperåÊ,15
GoosebumpsåÊ,77
"Sabrina, the Teenage WitchåÊ            ",25
Just Like HeavenåÊ,6
The Flintstones in Viva Rock VegasåÊ,37
Rambo IIIåÊ,52
LeatherheadsåÊ,57
The Ridiculous 6åÊ,25
Did You Hear About the Morgans?åÊ,72
The InternshipåÊ,50
Resident Evil: AfterlifeåÊ,41
Red TailsåÊ,81
Sex and the CityåÊ            ,25
The Devil's AdvocateåÊ,41
That's My BoyåÊ,75
DragonHeartåÊ,81
After the SunsetåÊ,13
Ghost Rider: Spirit of VengeanceåÊ,81
Captain Corelli's MandolinåÊ,25
Anger ManagementåÊ            ,25
The PacifieråÊ,34
Walking TallåÊ,50
Forrest GumpåÊ,31
Alvin and the ChipmunksåÊ,39
Meet the ParentsåÊ,67
PocahontasåÊ,65
SupermanåÊ,30
The Nutty ProfessoråÊ,40
HitchåÊ,49
George of the JungleåÊ,20
American WeddingåÊ,20
Captain PhillipsåÊ,58
Date NightåÊ,76
CasperåÊ,76
The EqualizeråÊ,76
Maid in ManhattanåÊ,16
Crimson TideåÊ,79
The Pursuit of HappynessåÊ,51
FlightplanåÊ,79
DisclosureåÊ,38
City of AngelsåÊ,77
Kill Bill: Vol. 1åÊ,46
BowfingeråÊ,10
Stargate SG-1åÊ            ,25
Kill Bill: Vol. 2åÊ,10
Tango & CashåÊ,92
Death Becomes HeråÊ,60
Shanghai NoonåÊ,22
Executive DecisionåÊ,46
Mr. Popper's PenguinsåÊ,46
The Forbidden KingdomåÊ,25
Free BirdsåÊ,22
Alien 3åÊ,22
EvitaåÊ,81
RoninåÊ,73
The Ghost and the DarknessåÊ,56
PaddingtonåÊ,21
The WatchåÊ,37
The HuntedåÊ,37
InstinctåÊ,37
Stuck on YouåÊ,12
Semi-ProåÊ,12
The Pirates! Band of MisfitsåÊ,57
ChangelingåÊ,75
Chain ReactionåÊ,0
The FanåÊ,86
The Phantom of the OperaåÊ,81
Elizabeth: The Golden AgeåÊ,83
Ì on FluxåÊ,25
Gods and GeneralsåÊ,74
TurbulenceåÊ,74
Imagine ThatåÊ,83
Muppets Most WantedåÊ,81
ThunderbirdsåÊ,88
BurlesqueåÊ,28
A Very Long EngagementåÊ,88
LolitaåÊ,25
Eye See YouåÊ,25
Blade IIåÊ,38
Seven PoundsåÊ,46
Bullet to the HeadåÊ,42
The Godfather: Part IIIåÊ,10
ElizabethtownåÊ,13
"You, Me and DupreeåÊ",21
Superman IIåÊ,58
GigliåÊ,88
All the King's MenåÊ,14
ShaftåÊ,46
AnastasiaåÊ,60
Moulin Rouge!åÊ,60
Domestic DisturbanceåÊ,50
Black MassåÊ,92
Flags of Our FathersåÊ,12
Law Abiding CitizenåÊ,68
GrindhouseåÊ,25
BelovedåÊ,62
Lucky YouåÊ,88
Catch Me If You CanåÊ,51
Zero Dark ThirtyåÊ,91
The Break-UpåÊ,11
Mamma Mia!åÊ,4
Valentine's DayåÊ,58
The Dukes of HazzardåÊ,77
The Thin Red LineåÊ,75
The Change-UpåÊ,75
Man on the MoonåÊ,37
CasinoåÊ,73
