movie_title,Watch[1] or Not[0]
The Matrix ReloadedåÊ,5
Thor: The Dark WorldåÊ,2
Mad Max: Fury RoadåÊ,6
Angels & DemonsåÊ,4
ThoråÊ,6
BoltåÊ,4
G-ForceåÊ,4
Wrath of the TitansåÊ,8
Dark ShadowsåÊ,8
Mission: Impossible - Rogue NationåÊ,6
The WolfmanåÊ,0
The Legend of TarzanåÊ,4
Bee MovieåÊ,4
Kung Fu Panda 2åÊ,6
The Last AirbenderåÊ,4
Mission: Impossible IIIåÊ,4
White House DownåÊ,8
Mars Needs MomsåÊ,3
Flushed AwayåÊ,8
PanåÊ,3
Mr. Peabody & ShermanåÊ,4
TroyåÊ,4
Madagascar 3: Europe's Most WantedåÊ,2
Die Another DayåÊ,6
GhostbustersåÊ,4
ArmageddonåÊ,2
Men in Black IIåÊ,6
BeowulfåÊ,8
Kung Fu Panda 3åÊ,6
Mission: Impossible - Ghost ProtocolåÊ,2
Rise of the GuardiansåÊ,4
Fun with Dick and JaneåÊ,4
The Last SamuraiåÊ,4
Exodus: Gods and KingsåÊ,8
Star TrekåÊ,2
Spider-ManåÊ,1
How to Train Your Dragon 2åÊ,6
Gods of EgyptåÊ,3
StealthåÊ,3
WatchmenåÊ,4
Lethal Weapon 4åÊ,4
HulkåÊ,4
G.I. Joe: RetaliationåÊ,4
SaharaåÊ,8
Final Fantasy: The Spirits WithinåÊ,3
Captain America: The First AvengeråÊ,6
The World Is Not EnoughåÊ,4
Master and Commander: The Far Side of the WorldåÊ,8
The Twilight Saga: Breaking Dawn - Part 2åÊ,5
Happy Feet 2åÊ,8
The Incredible HulkåÊ,4
Miami ViceåÊ            ,3
The BFGåÊ,0
The RevenantåÊ,6
TurboåÊ,8
RangoåÊ,4
Penguins of MadagascaråÊ,8
The Bourne UltimatumåÊ,2
Kung Fu PandaåÊ,2
Ant-ManåÊ,6
The Hunger Games: Catching FireåÊ,1
The Twilight Saga: Breaking Dawn - Part 2åÊ,5
HomeåÊ,6
War of the WorldsåÊ,2
Bad Boys IIåÊ,4
Puss in BootsåÊ,6
SaltåÊ,4
NoahåÊ,4
The Adventures of TintinåÊ,8
Harry Potter and the Prisoner of AzkabanåÊ,2
AustraliaåÊ,0
After EarthåÊ,0
DinosauråÊ,4
Harry Potter and the Deathly Hallows: Part IIåÊ,3
Night at the Museum: Secret of the TombåÊ,4
MegamindåÊ,6
Harry Potter and the Sorcerer's StoneåÊ,5
R.I.P.D.åÊ,3
Godzilla ResurgenceåÊ,3
Pirates of the Caribbean: The Curse of the Black PearlåÊ,5
Harry Potter and the Deathly Hallows: Part IåÊ,3
The Hunger Games: Mockingjay - Part 1åÊ,5
The Da Vinci CodeåÊ,2
Rio 2åÊ,4
X-Men 2åÊ,2
Fast FiveåÊ,2
Sherlock Holmes: A Game of ShadowsåÊ,6
Clash of the TitansåÊ,6
Total RecallåÊ,4
The 13th WarrioråÊ,3
The Bourne LegacyåÊ,4
Batman & RobinåÊ,4
How the Grinch Stole ChristmasåÊ,2
The Day After TomorrowåÊ,6
Mission: Impossible IIåÊ,2
The Perfect StormåÊ,6
Fantastic 4: Rise of the Silver SurferåÊ,4
Life of PiåÊ,4
Ghost RideråÊ,4
Jason BourneåÊ,4
Charlie's Angels: Full ThrottleåÊ,4
PrometheusåÊ,4
Stuart Little 2åÊ,8
ElysiumåÊ,8
The Chronicles of RiddickåÊ,0
RoboCopåÊ,0
Speed RaceråÊ,0
How Do You KnowåÊ,3
Knight and DayåÊ,8
OblivionåÊ,8
Star Wars: Episode III - Revenge of the SithåÊ,1
Star Wars: Episode II - Attack of the ClonesåÊ,5
"Monsters, Inc.åÊ",5
The WolverineåÊ,4
Star Wars: Episode I - The Phantom MenaceåÊ,1
The CroodsåÊ,6
Asterix at the Olympic GamesåÊ,3
WindtalkersåÊ,0
The Huntsman: Winter's WaråÊ,0
Teenage Mutant Ninja TurtlesåÊ,6
GravityåÊ,5
Dante's PeakåÊ,8
Teenage Mutant Ninja Turtles: Out of the ShadowsåÊ,8
Fantastic FouråÊ,0
Night at the MuseumåÊ,2
San AndreasåÊ,6
Tomorrow Never DiesåÊ,4
The PatriotåÊ,4
Ocean's TwelveåÊ,4
Mr. & Mrs. SmithåÊ,6
InsurgentåÊ,4
The AviatoråÊ,4
Gulliver's TravelsåÊ,0
The Green HornetåÊ,4
The A-TeamåÊ            ,3
300: Rise of an EmpireåÊ,4
The SmurfsåÊ,6
Home on the RangeåÊ,0
AllegiantåÊ,8
Real SteelåÊ,8
The Smurfs 2åÊ,8
Speed 2: Cruise ControlåÊ,0
Ender's GameåÊ,0
Live Free or Die HardåÊ,4
The Lord of the Rings: The Fellowship of the RingåÊ,5
Around the World in 80 DaysåÊ,3
AliåÊ,0
The Cat in the HatåÊ,4
"I, RobotåÊ",6
Kingdom of HeavenåÊ,0
Stuart LittleåÊ,4
The Princess and the FrogåÊ,4
The MartianåÊ,2
"10,000 B.C.åÊ            ",3
The IslandåÊ,3
Town & CountryåÊ,7
Gone in Sixty SecondsåÊ,4
GladiatoråÊ,6
Minority ReportåÊ,4
Harry Potter and the Chamber of SecretsåÊ,2
Casino RoyaleåÊ,6
Planet of the ApesåÊ,6
Terminator 2: Judgment DayåÊ,2
Public EnemiesåÊ,4
American GangsteråÊ,4
True LiesåÊ,6
The Taking of Pelham 1 2 3åÊ,8
Little FockersåÊ,6
The Other GuysåÊ,4
EraseråÊ,4
Django UnchainedåÊ,6
The Hunchback of Notre DameåÊ,4
The Emperor's New GrooveåÊ,8
The Expendables 2åÊ,8
National TreasureåÊ,6
EragonåÊ,8
Where the Wild Things AreåÊ,8
PanåÊ,3
EpicåÊ,4
The TouriståÊ,8
End of DaysåÊ,8
Blood DiamondåÊ,0
The Wolf of Wall StreetåÊ,4
Batman ForeveråÊ,6
Starship TroopersåÊ,0
Cloud AtlasåÊ,3
Legend of the Guardians: The Owls of Ga'HooleåÊ,0
CatwomanåÊ,0
HerculesåÊ,8
Treasure PlanetåÊ,0
Land of the LoståÊ,0
The Expendables 3åÊ,0
Point BreakåÊ,3
Son of the MaskåÊ,3
In the Heart of the SeaåÊ,3
The Adventures of Pluto NashåÊ,7
Green ZoneåÊ,3
The Peanuts MovieåÊ,4
The Spanish PrisoneråÊ,7
The Mummy ReturnsåÊ,2
Gangs of New YorkåÊ,8
The Flowers of WaråÊ,7
Surf's UpåÊ,0
The Stepford WivesåÊ,0
Black Hawk DownåÊ,4
The CampaignåÊ,8
The Fifth ElementåÊ,8
Sex and the City 2åÊ,8
The Road to El DoradoåÊ,0
Ice Age: Continental DriftåÊ,6
CinderellaåÊ,2
The Lovely BonesåÊ,0
Finding NemoåÊ,1
The Lord of the Rings: The Return of the KingåÊ,1
The Lord of the Rings: The Two TowersåÊ,5
Seventh SonåÊ,3
Lara Croft: Tomb RaideråÊ,4
TranscendenceåÊ,3
Jurassic Park IIIåÊ,6
Rise of the Planet of the ApesåÊ,6
The Spiderwick ChroniclesåÊ,8
A Good Day to Die HardåÊ,8
The AlamoåÊ,3
The IncrediblesåÊ,2
Cutthroat IslandåÊ,7
Percy Jackson & the Olympians: The Lightning ThiefåÊ,8
Men in BlackåÊ,2
Toy Story 2åÊ,2
UnstoppableåÊ,8
Rush Hour 2åÊ,2
What Lies BeneathåÊ,6
Cloudy with a Chance of MeatballsåÊ,4
Ice Age: Dawn of the DinosaursåÊ,2
The Secret Life of Walter MittyåÊ,0
Charlie's AngelsåÊ,4
The DepartedåÊ,4
MulanåÊ,4
Tropic ThunderåÊ,4
The Girl with the Dragon TattooåÊ,4
Die Hard with a VengeanceåÊ,4
Sherlock HolmesåÊ,2
Ben-HuråÊ,3
Atlantis: The Lost EmpireåÊ,8
Alvin and the Chipmunks: The Road ChipåÊ,8
ValkyrieåÊ,8
You Don't Mess with the ZohanåÊ,4
PixelsåÊ,8
A.I. Artificial IntelligenceåÊ,8
The Haunted MansionåÊ,8
ContactåÊ,4
Hollow ManåÊ,8
The InterpreteråÊ,8
Percy Jackson: Sea of MonstersåÊ,8
Lara Croft Tomb Raider: The Cradle of LifeåÊ,8
Now You See Me 2åÊ,8
The SaintåÊ,0
Spy GameåÊ,7
Mission to MarsåÊ,0
RioåÊ,6
Bicentennial ManåÊ,0
VolcanoåÊ,0
The Devil's OwnåÊ,0
K-19: The WidowmakeråÊ,3
Fantastic FouråÊ,0
Conan the BarbarianåÊ,0
Cinderella ManåÊ,0
The Nutcracker in 3DåÊ,7
SeabiscuitåÊ,4
TwisteråÊ,2
The Fast and the FuriousåÊ,6
Cast AwayåÊ,2
Happy FeetåÊ,2
The Bourne SupremacyåÊ,6
Air Force OneåÊ,6
Ocean's ElevenåÊ,6
The Three MusketeersåÊ,3
Hotel TransylvaniaåÊ,6
EnchantedåÊ,4
HannibalåÊ            ,3
Safe HouseåÊ,4
102 DalmatiansåÊ,8
Tower HeiståÊ,8
The HolidayåÊ,8
Enemy of the StateåÊ,4
It's ComplicatedåÊ,4
Ocean's ThirteenåÊ,4
Open SeasonåÊ,8
DivergentåÊ,6
Enemy at the GatesåÊ,0
The RundownåÊ,0
Last Action HeroåÊ,0
Memoirs of a GeishaåÊ,0
The Fast and the Furious: Tokyo DriftåÊ,0
Arthur ChristmasåÊ,0
Meet Joe BlackåÊ,0
Collateral DamageåÊ,0
All That JazzåÊ,3
Mirror MirroråÊ,8
Scott Pilgrim vs. the WorldåÊ,3
The CoreåÊ,3
Nutty Professor II: The KlumpsåÊ,4
Scooby-DooåÊ,6
DreddåÊ,7
ClickåÊ,4
CreepshowåÊ,3
Cats & Dogs: The Revenge of Kitty GaloreåÊ,0
JumperåÊ,8
Hellboy II: The Golden ArmyåÊ,8
ZodiacåÊ,3
The 6th DayåÊ,3
Bruce AlmightyåÊ,2
The ExpendablesåÊ,4
Mission: ImpossibleåÊ,6
The Hunger GamesåÊ,1
The Hangover Part IIåÊ,2
Batman ReturnsåÊ,6
Over the HedgeåÊ,6
Lilo & StitchåÊ,6
Charlotte's WebåÊ,8
Deep ImpactåÊ,4
RED 2åÊ,0
The Longest YardåÊ,6
Alvin and the Chipmunks: ChipwreckedåÊ,4
Grown Ups 2åÊ,4
Get SmartåÊ,4
Something's Gotta GiveåÊ,4
Shutter IslandåÊ,4
Four ChristmasesåÊ,4
RobotsåÊ,4
Face/OffåÊ,4
Bedtime StoriesåÊ,4
Road to PerditionåÊ,4
Just Go with ItåÊ,4
DaredevilåÊ            ,3
Con AiråÊ,4
Eagle EyeåÊ,4
Cold MountainåÊ,8
The Book of EliåÊ,8
FlubberåÊ,8
The HauntingåÊ,8
Space JamåÊ,8
The Pink PantheråÊ,8
The Day the Earth Stood StillåÊ,8
Conspiracy TheoryåÊ,8
FuryåÊ,8
Six Days Seven NightsåÊ,8
Yogi BearåÊ,4
Spirit: Stallion of the CimarronåÊ,8
ZookeeperåÊ,8
Lost in SpaceåÊ,8
The Manchurian CandidateåÊ,8
DÌ©jÌÊ VuåÊ,7
Hotel Transylvania 2åÊ,6
BewitchedåÊ            ,3
Fantasia 2000åÊ,0
The Time MachineåÊ,0
Mighty Joe YoungåÊ,0
SwordfishåÊ,8
The Legend of ZorroåÊ,0
What Dreams May ComeåÊ,0
Little NickyåÊ,0
The Brothers GrimmåÊ,0
Mars Attacks!åÊ,0
EvolutionåÊ,3
The EdgeåÊ,3
SurrogatesåÊ,0
Thirteen DaysåÊ,3
DaylightåÊ,3
Walking with Dinosaurs 3DåÊ,3
Battlefield EarthåÊ,3
Looney Tunes: Back in ActionåÊ,3
NineåÊ,3
TimelineåÊ,3
The PostmanåÊ,3
Babe: Pig in the CityåÊ,3
The Last Witch HunteråÊ,3
Red PlanetåÊ,3
Arthur and the InvisiblesåÊ,3
OceansåÊ,3
A Sound of ThunderåÊ,7
PompeiiåÊ,3
Top Cat BeginsåÊ,3
A Beautiful MindåÊ,6
The Lion KingåÊ,1
Journey 2: The Mysterious IslandåÊ,4
Cloudy with a Chance of Meatballs 2åÊ,4
Red DragonåÊ,8
HidalgoåÊ,8
Jack and JillåÊ,8
2 Fast 2 FuriousåÊ,4
The Little PrinceåÊ,7
The InvasionåÊ,3
The Adventures of Rocky & BullwinkleåÊ,3
The Secret Life of PetsåÊ,5
The League of Extraordinary GentlemenåÊ,8
Despicable Me 2åÊ,1
Independence DayåÊ,5
The Lost World: Jurassic ParkåÊ,2
MadagascaråÊ,6
Children of MenåÊ,3
X-MenåÊ,6
WantedåÊ,4
The RockåÊ,4
Ice Age: The MeltdownåÊ,6
50 First DatesåÊ,4
HairsprayåÊ,4
Exorcist: The BeginningåÊ,0
Inspector GadgetåÊ,4
Now You See MeåÊ,4
Grown UpsåÊ,6
The TerminalåÊ,8
ConstantineåÊ            ,3
Hotel for DogsåÊ,8
Vertical LimitåÊ,8
Charlie Wilson's WaråÊ,8
Shark TaleåÊ,6
DreamgirlsåÊ,4
LifeåÊ            ,3
Be CoolåÊ,0
MunichåÊ,0
Tears of the SunåÊ,0
KillersåÊ,0
The Man from U.N.C.L.E.åÊ,0
SpanglishåÊ,0
Monster HouseåÊ,8
BanditsåÊ,0
First KnightåÊ,0
Anna and the KingåÊ,0
ImmortalsåÊ,8
HostageåÊ,3
Titan A.E.åÊ,3
Hollywood HomicideåÊ,3
SoldieråÊ,7
CarriersåÊ,7
MonkeyboneåÊ,7
Flight of the PhoenixåÊ,3
UnbreakableåÊ,8
MinionsåÊ,5
Sucker PunchåÊ,3
Snake EyesåÊ,0
SphereåÊ,0
The Angry Birds MovieåÊ,4
Fool's GoldåÊ,8
Funny PeopleåÊ,0
The KingdomåÊ,0
Talladega Nights: The Ballad of Ricky BobbyåÊ,6
Dr. Dolittle 2åÊ,4
BraveheartåÊ,8
JarheadåÊ,8
The Simpsons MovieåÊ,6
The MajesticåÊ,3
DrivenåÊ,3
Two BrothersåÊ,3
The VillageåÊ,4
Doctor DolittleåÊ,6
SignsåÊ,2
Shrek 2åÊ,1
CarsåÊ,2
Runaway BrideåÊ,6
xXxåÊ,6
The SpongeBob Movie: Sponge Out of WateråÊ,6
RansomåÊ,4
Inglourious BasterdsåÊ,4
HookåÊ,4
HerculesåÊ,8
Die Hard 2åÊ,4
S.W.A.T.åÊ,4
Sleepy HollowåÊ            ,3
Vanilla SkyåÊ,4
Lady in the WateråÊ,0
AVP: Alien vs. PredatoråÊ,8
Alvin and the Chipmunks: The SqueakquelåÊ,2
We Were SoldiersåÊ,8
Olympus Has FallenåÊ,4
Star Trek: InsurrectionåÊ,8
Battle Los AngelesåÊ,8
Big FishåÊ,8
WolfåÊ,8
War HorseåÊ,8
The Monuments MenåÊ,8
The AbyssåÊ,0
Wall Street: Money Never SleepsåÊ,0
Dracula UntoldåÊ,0
The SiegeåÊ,0
StarduståÊ,0
Seven Years in TibetåÊ,0
The DilemmaåÊ,0
Bad CompanyåÊ,3
DoomåÊ,3
I SpyåÊ,3
Underworld: AwakeningåÊ,0
Rock of AgesåÊ,0
Hart's WaråÊ,3
Killer EliteåÊ,3
RollerballåÊ,3
Ballistic: Ecks vs. SeveråÊ,7
Hard RainåÊ,3
Osmosis JonesåÊ,7
Legends of Oz: Dorothy's ReturnåÊ,7
BlackhatåÊ,7
Sky Captain and the World of TomorrowåÊ,0
Basic Instinct 2åÊ,7
Escape PlanåÊ,3
The Legend of HerculesåÊ,3
The Sum of All FearsåÊ,4
The Twilight Saga: EclipseåÊ,5
The ScoreåÊ,8
Despicable MeåÊ,2
Money TrainåÊ,3
Ted 2åÊ,8
AgoraåÊ,7
Mystery MenåÊ,3
Hall PassåÊ,0
The InsideråÊ,3
The Finest HoursåÊ,3
Body of LiesåÊ,0
Dinner for SchmucksåÊ,8
Abraham Lincoln: Vampire HunteråÊ,0
EntrapmentåÊ,8
Last Man StandingåÊ            ,3
The X FilesåÊ,8
The Last LegionåÊ,7
Saving Private RyanåÊ,2
Need for SpeedåÊ,0
What Women WantåÊ,6
Ice AgeåÊ,6
DreamcatcheråÊ,3
LincolnåÊ,6
The MatrixåÊ,6
Apollo 13åÊ,6
Total RecallåÊ,4
The Santa Clause 2åÊ,4
Les MisÌ©rablesåÊ,6
You've Got MailåÊ,4
Step BrothersåÊ,4
The Mask of ZorroåÊ,8
Due DateåÊ,4
UnbrokenåÊ,4
Space CowboysåÊ,8
CliffhangeråÊ,8
Broken ArrowåÊ,8
The KidåÊ,8
World Trade CenteråÊ,8
Mona Lisa SmileåÊ,8
The DictatoråÊ,0
Eyes Wide ShutåÊ,0
AnnieåÊ,8
FocusåÊ,0
This Means WaråÊ,0
Blade: TrinityåÊ,0
Red DawnåÊ,3
Primary ColorsåÊ,0
Resident Evil: RetributionåÊ,0
Death RaceåÊ,3
The Long Kiss GoodnightåÊ,3
Proof of LifeåÊ,3
Zathura: A Space AdventureåÊ,3
Fight ClubåÊ,0
We Are MarshallåÊ,0
The MissingåÊ            ,3
Hudson HawkåÊ,3
Lucky NumbersåÊ,7
"I, FrankensteinåÊ",3
Oliver TwiståÊ,7
ElektraåÊ,3
Sin City: A Dame to Kill ForåÊ,7
Random HeartsåÊ,3
EvereståÊ,0
Perfume: The Story of a MurdereråÊ,7
Austin Powers in GoldmemberåÊ,2
Astro BoyåÊ,3
Jurassic ParkåÊ,5
Wyatt EarpåÊ,3
Clear and Present DangeråÊ,4
Dragon BladeåÊ,7
LittlemanåÊ,0
U-571åÊ,8
The American PresidentåÊ,8
The Love GuruåÊ,3
3000 Miles to GracelandåÊ,3
The Hateful EightåÊ,0
Blades of GloryåÊ,4
HopåÊ,4
300åÊ,2
Meet the FockersåÊ,5
Marley & MeåÊ,6
The Green MileåÊ,4
Wild HogsåÊ,6
Chicken LittleåÊ,4
Gone GirlåÊ,6
The Bourne IdentityåÊ,4
GoldenEyeåÊ,4
The General's DaughteråÊ,4
The Truman ShowåÊ,4
The Prince of EgyptåÊ,4
Daddy Day CareåÊ,4
2 GunsåÊ,8
Cats & DogsåÊ,8
The Italian JobåÊ,4
Two Weeks NoticeåÊ,8
AntzåÊ,8
Couples RetreatåÊ,4
Days of ThunderåÊ,8
Cheaper by the Dozen 2åÊ,8
The Scorch TrialsåÊ,8
Eat Pray LoveåÊ,8
The Family ManåÊ,8
REDåÊ,8
Any Given SundayåÊ,8
The Horse WhispereråÊ,8
CollateralåÊ,4
The Scorpion KingåÊ,8
Ladder 49åÊ,8
Jack ReacheråÊ,8
Deep Blue SeaåÊ,8
This Is ItåÊ,8
ContagionåÊ,8
Kangaroo JackåÊ,8
CoralineåÊ,8
The HappeningåÊ,8
Man on FireåÊ,8
The Shaggy DogåÊ,0
Starsky & HutchåÊ,8
Jingle All the WayåÊ,0
HellboyåÊ,0
A Civil ActionåÊ,0
ParaNormanåÊ,0
The JackalåÊ,0
PaycheckåÊ,0
Up Close & PersonalåÊ,0
The Tale of DespereauxåÊ,0
Rules of EngagementåÊ            ,3
The TuxedoåÊ,0
Under Siege 2: Dark TerritoryåÊ,0
Jack Ryan: Shadow RecruitåÊ,0
JoyåÊ,0
London Has FallenåÊ,0
Alien: ResurrectionåÊ,0
ShooteråÊ,0
The BoxtrollsåÊ,0
Practical MagicåÊ,0
The Lego MovieåÊ,2
Miss Congeniality 2: Armed and FabulousåÊ,0
Reign of FireåÊ,0
Gangster SquadåÊ,0
Year OneåÊ,0
InvictusåÊ,0
State of PlayåÊ,0
DuplicityåÊ,0
My Favorite MartianåÊ,0
The SentinelåÊ,3
Planet 51åÊ,0
Star Trek: NemesisåÊ,0
Intolerable CrueltyåÊ,3
Trouble with the CurveåÊ,3
Edge of DarknessåÊ,0
The RelicåÊ,3
Analyze ThatåÊ,3
Righteous KillåÊ,0
Mercury RisingåÊ,3
The SoloiståÊ,3
The Legend of Bagger VanceåÊ,3
Almost FamousåÊ,3
Garfield 2åÊ,3
xXx: State of the UnionåÊ,3
PrieståÊ,3
Sinbad: Legend of the Seven SeasåÊ,3
Event HorizonåÊ,3
The AvengersåÊ,9
DragonflyåÊ,3
The Black DahliaåÊ,3
FlyboysåÊ,7
The Last CastleåÊ,3
SupernovaåÊ,7
Winter's TaleåÊ,7
The Mortal Instruments: City of BonesåÊ,3
Meet DaveåÊ,7
Dark WateråÊ,3
EdtvåÊ,3
InkheartåÊ,3
The SpiritåÊ,3
MortdecaiåÊ,7
In the Name of the King: A Dungeon Siege TaleåÊ,7
Beyond BordersåÊ,7
Xi you ji zhi: Sun Wukong san da Baigu JingåÊ,3
The Great RaidåÊ,7
DeadpoolåÊ,1
Holy ManåÊ,7
American SniperåÊ,5
GoosebumpsåÊ,8
"Sabrina, the Teenage WitchåÊ            ",3
Just Like HeavenåÊ,0
The Flintstones in Viva Rock VegasåÊ,3
Rambo IIIåÊ,0
LeatherheadsåÊ,3
The Ridiculous 6åÊ,3
Did You Hear About the Morgans?åÊ,3
The InternshipåÊ,0
Resident Evil: AfterlifeåÊ,0
Red TailsåÊ,0
Sex and the CityåÊ            ,3
The Devil's AdvocateåÊ,0
That's My BoyåÊ,0
DragonHeartåÊ,0
After the SunsetåÊ,3
Ghost Rider: Spirit of VengeanceåÊ,0
Captain Corelli's MandolinåÊ,3
Anger ManagementåÊ            ,3
The PacifieråÊ,4
Walking TallåÊ,0
Forrest GumpåÊ,5
Alvin and the ChipmunksåÊ,2
Meet the ParentsåÊ,6
PocahontasåÊ,6
SupermanåÊ,4
The Nutty ProfessoråÊ,4
HitchåÊ,6
George of the JungleåÊ,4
American WeddingåÊ,4
Captain PhillipsåÊ,4
Date NightåÊ,4
CasperåÊ,4
The EqualizeråÊ,4
Maid in ManhattanåÊ,8
Crimson TideåÊ,8
The Pursuit of HappynessåÊ,6
FlightplanåÊ,8
DisclosureåÊ,8
City of AngelsåÊ,8
Kill Bill: Vol. 1åÊ,8
BowfingeråÊ,8
Stargate SG-1åÊ            ,3
Kill Bill: Vol. 2åÊ,8
Tango & CashåÊ,8
Death Becomes HeråÊ,0
Shanghai NoonåÊ,0
Executive DecisionåÊ,8
Mr. Popper's PenguinsåÊ,8
The Forbidden KingdomåÊ,3
Free BirdsåÊ,0
Alien 3åÊ,0
EvitaåÊ,0
RoninåÊ,0
The Ghost and the DarknessåÊ,0
PaddingtonåÊ,8
The WatchåÊ,3
The HuntedåÊ,3
InstinctåÊ,3
Stuck on YouåÊ,3
Semi-ProåÊ,3
The Pirates! Band of MisfitsåÊ,3
ChangelingåÊ,3
Chain ReactionåÊ,3
The FanåÊ,3
The Phantom of the OperaåÊ,0
Elizabeth: The Golden AgeåÊ,3
Ì on FluxåÊ,3
Gods and GeneralsåÊ,7
TurbulenceåÊ,7
Imagine ThatåÊ,3
Muppets Most WantedåÊ,0
ThunderbirdsåÊ,7
BurlesqueåÊ,0
A Very Long EngagementåÊ,7
LolitaåÊ,3
Eye See YouåÊ,3
Blade IIåÊ,8
Seven PoundsåÊ,8
Bullet to the HeadåÊ,7
The Godfather: Part IIIåÊ,8
ElizabethtownåÊ,3
"You, Me and DupreeåÊ",8
Superman IIåÊ,4
GigliåÊ,7
All the King's MenåÊ,7
ShaftåÊ,8
AnastasiaåÊ,0
Moulin Rouge!åÊ,0
Domestic DisturbanceåÊ,0
Black MassåÊ,0
Flags of Our FathersåÊ,3
Law Abiding CitizenåÊ,8
GrindhouseåÊ,3
BelovedåÊ,3
Lucky YouåÊ,7
Catch Me If You CanåÊ,6
Zero Dark ThirtyåÊ,8
The Break-UpåÊ,4
Mamma Mia!åÊ,6
Valentine's DayåÊ,4
The Dukes of HazzardåÊ,8
The Thin Red LineåÊ,3
The Change-UpåÊ,0
Man on the MoonåÊ,3
CasinoåÊ,0
